name,slug,value,date_of_information,ranking,region
"North Macedonia","north-macedonia","1.51","2022 est.","201","Europe"
"Bulgaria","bulgaria","1.50","2022 est.","202","Europe"
"Malta","malta","1.50","2022 est.","203","Europe"
"Czechia","czechia","1.49","2022 est.","204","Europe"
"Cyprus","cyprus","1.48","2022 est.","205","Europe"
"Hungary","hungary","1.48","2022 est.","206","Europe"
"Serbia","serbia","1.46","2022 est.","207","Europe"
"Slovakia","slovakia","1.46","2022 est.","208","Europe"
"Andorra","andorra","1.45","2022 est.","209","Europe"
"China","china","1.45","2022 est.","210","East and Southeast Asia"
"Croatia","croatia","1.45","2022 est.","211","Europe"
"Portugal","portugal","1.43","2022 est.","212","Europe"
"Greece","greece","1.40","2022 est.","213","Europe"
"Poland","poland","1.40","2022 est.","214","Europe"
"Japan","japan","1.38","2022 est.","215","East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.36","2022 est.","216","Europe"
"British Virgin Islands","british-virgin-islands","1.35","2022 est.","217","Central America and the Caribbean"
"Mauritius","mauritius","1.35","2022 est.","218","Africa"
"Montserrat","montserrat","1.32","2022 est.","219","Central America and the Caribbean"
"Spain","spain","1.27","2022 est.","220","Europe"
"Puerto Rico","puerto-rico","1.24","2022 est.","221","Central America and the Caribbean"
"Hong Kong","hong-kong","1.22","2022 est.","222","East and Southeast Asia"
"Italy","italy","1.22","2022 est.","223","Europe"
"Macau","macau","1.22","2022 est.","224","East and Southeast Asia"
"Singapore","singapore","1.16","2022 est.","225","East and Southeast Asia"
"Korea, South","korea-south","1.10","2022 est.","226","East and Southeast Asia"
"Taiwan","taiwan","1.08","2022 est.","227","East and Southeast Asia"
